"summary_id","cnr"
"019ba0cd-a7c4-7c50-9b1d-c89b38d16f4f","ESCR010000012025"
"019ba0cf-9e46-7622-8bb5-241e4f244cc9","ESCR010000022025"
"019ba0cf-ddf3-762b-9992-28180bee7467","ESCR010000032025"
"019ba0d0-26b7-7fdf-9bb0-8f4cf85f5215","ESCR010000042025"
"019ba0d1-5f7f-7714-8f68-7b07abc0f0d9","ESCR010000062025"
"019ba0d4-95e3-78e9-9405-e249a4cceb36","ESCR010000072025"
"019ba0d6-e528-718d-a908-bd2ccb9ccc61","ESCR010000082025"
"019ba0db-bd4b-7c3f-95af-958c1caf2d91","ESCR010000092025"
"019ba0df-d815-7de5-ae52-77ee1b5c5303","ESCR010000142025"
"019ba0e3-f5a9-79da-b9f7-608fd5f70640","ESCR010000162025"
"019ba0f9-3bbf-728c-b464-94436469da3d","ESCR010000232025"
"019ba0fa-3bbb-7f22-9341-2d62ab1d47b6","ESCR010000242025"
"019ba0fd-3abb-7192-807b-977c12563703","ESCR010001152025"
"019ba0ff-c6ff-7b92-a0cc-d22a5542157c","ESCR010001192025"
"019ba100-891c-716f-844d-a43603cda940","ESCR010001202025"
"019ba102-e665-76dc-8ad7-cb863dfebc9c","ESCR010001212025"
"019ba106-6444-7a2d-a9bd-6ae9ac8149f2","ESCR010001222025"
"019ba107-c07b-7bd2-8398-ce5b4b505f76","ESCR010001232025"
"019ba10a-70e8-7ca7-9015-4f856d1343dc","ESCR010001642025"
"019ba10e-4eb1-755c-8aef-c58ad9c57930","ESCR010001652025"
"019ba112-5c65-7a74-bff0-180c7e0c7ea9","ESCR010001682025"
"019ba114-5279-701c-b88f-25fc4429fe22","ESCR010001792025"
"019ba117-e493-7cb7-8b59-4feac3eb89d5","ESCR010001802025"
"019ba119-8344-7f90-9d37-2329b3a82332","ESCR010001812025"
"019ba11d-8a7d-78e2-bd13-02bbc11260c8","ESCR010001842025"
"019ba122-e277-7113-aced-4fcac60a537e","ESCR010004242025"
"019ba126-a23e-7063-9004-8e1491e35871","ESCR010003712025"
"019ba129-98c6-799e-81e2-92738e387aba","ESCR010003722025"
"019ba12a-7957-7db9-b681-17516acd30e4","ESCR010003732025"
"019ba12a-dc75-7c4b-b90b-469116223a62","ESCR010003912025"
"019ba12b-2f80-7b1c-b9c3-72328ebd75eb","ESCR010003922025"
"019ba12b-812d-76f1-8cee-3479d4c16b49","ESCR010003942025"
"019ba12b-e91f-79ff-8f13-f2eb74286740","ESCR010000052025"
"019ba12c-342a-78f0-8696-cb2afee77905","ESCR010000102025"
"019ba12c-9fb4-7b63-bef0-0f8182ba36fb","ESCR010000112025"
"019ba12c-f4bb-7566-a43a-b2bef5652a37","ESCR010000122025"
"019ba12d-444f-73b3-8c02-1749cdd76317","ESCR010000172025"
"019ba12d-97c3-7b07-9f98-8368cb68131d","ESCR010000292025"
"019ba12d-d434-7a45-b21b-3b85e6876359","ESCR010000312025"
"019ba12e-2c8d-7edb-a258-fd7f9d418fc5","ESCR010000472025"
"019ba12e-74f5-7171-815b-73c1377c1e59","ESCR010000482025"
"019ba12e-9edd-7ed7-b8f4-401c250744f4","ESCR010001472025"
"019ba12f-3701-75b8-a934-070aee7e4476","ESCR010000832025"
"019ba130-7cfb-727c-9560-1e95ac835179","ESCR010000862025"
"019ba130-c8fa-7a11-9598-51648f5110db","ESCR010000872025"
"019ba131-1a03-73b8-b215-d404b35b3d5f","ESCR010000882025"
"019ba131-5ec0-772d-a948-7b88531751a1","ESCR010001132025"
"019ba131-97be-7e74-b8c9-dbe3573122ba","ESCR010001282025"
"019ba131-e252-7334-b505-c44d8d7189e0","ESCR010001412025"
"019ba132-3b63-7859-8f8e-335e5b0e2d98","ESCR010001662025"
